unique_id,filename,source,corpus,date,word_count,path
FED_0336,FED_0336-2021-10-13.txt,FED,FED,2021-10-13,3680,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0336-2021-10-13.txt
FED_0194,FED_0194-2022-05-06.txt,FED,FED,2022-05-06,2507,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0194-2022-05-06.txt
FED_0258,FED_0258-2024-05-10.txt,FED,FED,2024-05-10,1599,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0258-2024-05-10.txt
FED_0062,FED_0062-2021-11-08.txt,FED,FED,2021-11-08,2238,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0062-2021-11-08.txt
FED_0268,FED_0268-2025-09-22.txt,FED,FED,2025-09-22,4313,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0268-2025-09-22.txt
FED_0286,FED_0286-2023-04-04.txt,FED,FED,2023-04-04,523,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0286-2023-04-04.txt
FED_0370,FED_0370-2023-10-02.txt,FED,FED,2023-10-02,2315,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0370-2023-10-02.txt
FED_0138,FED_0138-2023-10-02.txt,FED,FED,2023-10-02,4477,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0138-2023-10-02.txt
FED_0052,FED_0052-2021-02-18.txt,FED,FED,2021-02-18,3567,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0052-2021-02-18.txt
FED_0252,FED_0252-2023-10-27.txt,FED,FED,2023-10-27,1024,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0252-2023-10-27.txt
FED_0023,FED_0023-2021-10-18.txt,FED,FED,2021-10-18,3029,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0023-2021-10-18.txt
FED_0075,FED_0075-2021-10-07.txt,FED,FED,2021-10-07,3242,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0075-2021-10-07.txt
FED_0034,FED_0034-2021-01-13.txt,FED,FED,2021-01-13,3726,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0034-2021-01-13.txt
FED_0233,FED_0233-2025-11-11.txt,FED,FED,2025-11-11,2353,/Users/pranav/Documents/culture-as-data-final-project/Extracts/FED/FED_0233-2025-11-11.txt
